,rundate,reporting_period,airline_name,aircraft_name,aircraft_km_passenger_x1000,aircraft_km_cargo_x1000,stage_flights_passenger,stage_flights_cargo,aircraft_hours_passenger,aircraft_hours_cargo,passengers_uplifted,seat_km_used_x1000,seat_km_available_x1000,aircraft_in_service_at_quarter_end,sum_of_hours_used_last_quarter,sum_of_hours_available_last_quarter
88,23/05/2022 23:50,202203,TAG AVIATION (UK) LTD,GULFSTREAM GVI NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,1,0.0,2160
89,23/05/2022 23:50,202203,TITAN AIRWAYS LTD,AIRBUS A320 200,102,0,56,0,158.9,0.0,7739,13135,18376,2,474.0,4320
90,23/05/2022 23:50,202203,TITAN AIRWAYS LTD,AIRBUS A321 200,39,157,33,100,68.5,242.4,5495,5206,8571,4,912.1,8640
91,23/05/2022 23:50,202203,TITAN AIRWAYS LTD,AIRBUS A321 200N,77,0,24,0,110.4,0.0,609,2318,9430,2,275.8,4320
92,23/05/2022 23:50,202203,TITAN AIRWAYS LTD,AIRBUS A330 300,0,339,0,84,0.0,484.4,0,0,0,1,1304.3,2160
93,23/05/2022 23:50,202203,TITAN AIRWAYS LTD,BOEING 737 400,0,91,0,118,0.0,172.0,0,0,0,1,401.0,3024
94,23/05/2022 23:50,202203,TITAN AIRWAYS LTD,BOEING 757 200,74,0,23,0,105.3,0.0,1470,6010,15043,2,336.5,4320
95,23/05/2022 23:50,202203,TUI AIRWAYS LTD,BOEING 737 8,2679,0,928,0,3837.6,0.0,153242,446644,506401,14,9752.1,30000
96,23/05/2022 23:50,202203,TUI AIRWAYS LTD,BOEING 737 800,2697,0,1139,0,4020.7,0.0,189010,446209,509715,23,9707.7,50040
97,23/05/2022 23:50,202203,TUI AIRWAYS LTD,BOEING 767 300F,200,0,76,0,286.7,0.0,21214,55050,65750,2,803.6,5760
98,23/05/2022 23:50,202203,TUI AIRWAYS LTD,BOEING 787 8,2088,175,307,32,2578.3,221.3,66783,558370,626516,8,7963.7,17280
99,23/05/2022 23:50,202203,TUI AIRWAYS LTD,BOEING 787 9,1508,7,215,1,1854.1,9.6,63773,449897,520380,5,4765.0,9312
100,23/05/2022 23:50,202203,VIRGIN ATLANTIC AIRWAYS LTD,AIRBUS A330 200,0,0,0,0,0.0,0.0,0,0,0,1,0.0,3384
101,23/05/2022 23:50,202203,VIRGIN ATLANTIC AIRWAYS LTD,AIRBUS A330 300,2585,4,447,10,3426.1,10.8,71634,458062,687651,9,9927.6,19440
102,23/05/2022 23:50,202203,VIRGIN ATLANTIC AIRWAYS LTD,AIRBUS A350 1000,2692,47,414,21,3383.5,76.7,86725,565418,901694,8,9087.3,17280
103,23/05/2022 23:50,202203,VIRGIN ATLANTIC AIRWAYS LTD,BOEING 787 9,5258,222,760,92,6649.8,361.1,133106,946742,1388126,17,19793.3,36720
104,23/05/2022 23:50,202203,VIRGIN ATLANTIC INTERNATIONAL,AIRBUS A330 300,351,0,65,0,457.7,0.0,9865,66300,93351,1,1281.2,2160
105,23/05/2022 23:50,202203,VOLUXIS LTD,BOMBARDIER BD700 1A10,0,0,0,0,0.0,0.0,0,0,0,0,59.3,360
106,23/05/2022 23:50,202203,VOLUXIS LTD,BOMBARDIER BD700 1A11,25,0,5,0,31.3,0.0,17,98,326,1,66.5,1800
107,23/05/2022 23:50,202203,VOLUXIS LTD,EMBRAER EMB505 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,0,1.3,1680
108,23/05/2022 23:50,202203,VOLUXIS LTD,HAWKER HAWKER 800 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,1,21.9,2520
109,23/05/2022 23:50,202203,WEST ATLANTIC UK LTD,ATR ATR72 200,0,54,0,188,0.0,190.2,0,0,0,3,427.4,5760
110,23/05/2022 23:50,202203,WEST ATLANTIC UK LTD,BOEING 737 300,0,83,0,96,0.0,158.1,0,0,0,4,512.7,12480
111,23/05/2022 23:50,202203,WEST ATLANTIC UK LTD,BOEING 737 400,0,126,0,309,0.0,307.5,0,0,0,6,836.7,12960
112,23/05/2022 23:50,202203,WEST ATLANTIC UK LTD,BOEING 737 800,0,46,0,100,0.0,108.1,0,0,0,1,307.4,2160
113,23/05/2022 23:50,202203,WIZZ AIR UK LTD,AIRBUS A320 200,460,0,273,0,751.4,0.0,36687,63213,85531,3,2214.8,6480
114,23/05/2022 23:50,202203,WIZZ AIR UK LTD,AIRBUS A321 200,636,0,328,0,1008.2,0.0,50850,99037,146311,7,2530.0,15120
115,23/05/2022 23:50,202203,WIZZ AIR UK LTD,AIRBUS A321 200N,795,0,391,0,1257.3,0.0,66594,138198,190021,6,2663.7,9120
